id,date,subject,event,evidence_class,status,primary_source,accessibility_note
GC-1951,1951,Gordon Cooper,"European formation sightings later recalled by Cooper","later first-person testimony","needs contemporaneous corroboration","https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7262140/Batch0001/7262140-20060474F-001-010-2023.pdf","Text-only claim record; event-level radar/flight records not yet attached"
EDW-1957,1957-05-02/03,Edwards AFB,"Gettys and Bittick photograph an unidentified object near Askania camera station","archival film + witness reconstruction","object photographed; identity disputed; landing uncorroborated in earlier reconstruction","https://prologue.blogs.archives.gov/wp-content/uploads/sites/9/2018/03/report.pdf","Film inventory described in text; highest-generation frames still to retrieve"
GC-1962,1962-11-01,Gordon Cooper,"Walter Cronkite interviews Cooper about unidentified flying objects","primary audiovisual","Cooper treats some reports as unexplained while allowing possible explanations","https://www.dvidshub.net/video/1010337/nasa-uap-d023-interview-excerpt-with-astronaut-gordon-cooper-1962","Video embedded; accessible transcript summary in transcripts/"
MA9-D010,1963-05-15,Mercury-Atlas 9,"Cooper reports firefly-like luminous particles","primary mission audio","NASA release attributes phenomenon to frozen condensation","https://www.dvidshub.net/video/1007874/nasa-uap-d010-mercury-atlas-9-audio-excerpt-may-15-1963","Audio description + transcript summary"
MA9-D011,1963-05-15,Mercury-Atlas 9,"Cooper describes sunrise and luminous particles; mission beacons are part of context","primary mission audio","spacecraft/mission context present; not evidence of independent craft","https://www.dvidshub.net/video/1007876/nasa-uap-d011-mercury-atlas-9-audio-excerpt-may-15-1963","Audio description + transcript summary"
EDW-1968,1968-07-29,Edwards AFB,"James E. McDonald presents reconstruction after interviewing Bittick Gettys and Baker","congressional record","describes photographed object moving away; no landing sequence in reconstruction","https://www.govinfo.gov/app/details/CHRG-90hhrg97818","Document source with textual evidence summary"
GC-1978,1978-11-09,Gordon Cooper,"Cooper writes Grenada UN mission advocating coordinated scientific investigation","signed letter / later archival scan","documents Cooper's belief; not independent proof of extraterrestrial origin","https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7262140/Batch0001/7262140-20060474F-001-010-2023.pdf","Scanned-document description and source attribution"
AP10-MUSIC,1969-05,Apollo 10,"Crew reports unusual whistling or outer-space-type music in lunar orbit","onboard audio/transcript","real reported audio phenomenon; radio configuration analysis pending","https://www.nasa.gov/mission/apollo-10/","Exact transcript timestamps to be added"
AP11-OBJ,1969-07,Apollo 11,"Crew observes bright unidentified object during translunar coast","technical crew debrief / multiple witnesses","S-IVB candidate rejected by reported distance; range size and identity unresolved; spacecraft debris not excluded","https://sma.nasa.gov/SignificantIncidents/assets/a11_tcdb.pdf","Text record; geometry reconstruction pending"
AP11-ARIS,1969-07,Apollo 11,"Mission Control asks crew to inspect Aristarchus after transient lunar reports; crew notes unusual brightness","air-to-ground transcript","observation documented; cause not established by transcript","https://www.nasa.gov/wp-content/uploads/2026/01/as11-tec.pdf?emrc=340ba7","Text transcript; lunar-map synchronization pending"
AP17-D009,1972-12-07,Apollo 17,"Crew reports bright jagged/angular fragments outside spacecraft","primary mission audio","crew considers paint or ice and S-IVB-associated debris","https://www.dvidshub.net/video/1007872/nasa-uap-d009-apollo-17-audio-excerpt-december-7-1972","Audio description + transcript summary"
